0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-0.029513836,0.0026055574,0.7958848,-0.0008295607,0.030054115,0.046889357,1.0221691,-0.17686175,0.018453779,0.032982696,0.25493068,-0.15921643,0.005319868,-0.06322819,-0.04633198,-0.26124144,0.26528198,-0.16528784,0.06184823,0.06479781,-0.015203303,-0.0337431,-0.115052596,1.6667806,-0.070329964,1.2085421,0.13995087,0.3893905,-0.007231742,0.32051793,-1.598365,-0.2382642,1.3853114,0.17919445,0.26492608,-0.32725126
-0.025822282,0.004364252,0.79720765,-0.0008771047,0.029664317,0.049157403,1.0196031,-0.1808595,0.01932552,0.031409245,0.25377977,-0.16605988,-0.0035812622,-0.06841396,-0.044137724,-0.24777737,0.26674378,-0.16976085,0.06482865,0.06563547,-0.013095532,-0.03635043,-0.11424665,1.6626661,-0.054008693,1.2138321,0.16583312,0.3987625,-0.016649172,0.34940967,-1.5944774,-0.28065902,1.373915,0.1622765,0.27633935,-0.32873157
-0.02189231,0.00599128,0.79593796,-0.0012815082,0.02871274,0.051426835,1.0183183,-0.1812965,0.021323845,0.029191174,0.2513471,-0.17104647,-0.009006102,-0.070548564,-0.04830074,-0.23617771,0.2677491,-0.1743326,0.06051112,0.064433776,-0.011321671,-0.038714163,-0.11342648,1.661136,-0.037011713,1.2227921,0.19032872,0.40483007,-0.024647087,0.37671745,-1.5906128,-0.3250304,1.3666797,0.1428352,0.2878002,-0.33260602
-0.017393649,0.008282542,0.7956278,-0.002796745,0.028304521,0.05377821,1.0179925,-0.17868282,0.022910591,0.025653705,0.24872258,-0.17042293,-0.016836477,-0.06845268,-0.056847252,-0.23006952,0.26829422,-0.17706421,0.048415266,0.062568545,-0.010190263,-0.04081919,-0.112775855,1.6612021,-0.017270416,1.233906,0.21354485,0.40959293,-0.028970718,0.40407482,-1.5866941,-0.37572762,1.3597355,0.119105995,0.30146587,-0.33764267
-0.013565958,0.0108398795,0.795442,-0.0046275165,0.028231394,0.056039467,1.0187987,-0.17340688,0.023751093,0.02198156,0.24674258,-0.16385385,-0.030674458,-0.06544949,-0.06445265,-0.22503252,0.26799423,-0.18387783,0.034704424,0.061198145,-0.009644218,-0.042470723,-0.11390471,1.6621443,0.0040709376,1.2458516,0.23330402,0.41233218,-0.029073238,0.42859662,-1.5832301,-0.42961958,1.349946,0.09460306,0.31636018,-0.3438859
-0.009188473,0.013326585,0.79492646,-0.0062525077,0.028455153,0.058376603,1.0202856,-0.16785702,0.023899134,0.019643635,0.24766573,-0.15400818,-0.043521658,-0.063464396,-0.069530725,-0.21928741,0.26652437,-0.18638492,0.028382234,0.0598089,-0.008918181,-0.043808557,-0.11621866,1.6635804,0.02594617,1.2580659,0.25041074,0.41174254,-0.026520506,0.44998345,-1.581465,-0.486871,1.3359773,0.06994009,0.3305868,-0.3516276
-0.0039564967,0.015690982,0.7937345,-0.0073530152,0.028232047,0.060417265,1.0219725,-0.16265795,0.024388034,0.019779861,0.25213903,-0.14494927,-0.047077835,-0.06210354,-0.07205428,-0.21610393,0.2658983,-0.1844171,0.025276594,0.058455076,-0.007895686,-0.04517935,-0.11737724,1.6662878,0.0451805,1.2699461,0.26670465,0.40675592,-0.023691297,0.4671827,-1.580394,-0.54432976,1.3160174,0.046305776,0.34430492,-0.3593944
0.00047159195,0.018211484,0.7909814,-0.0076987958,0.027890423,0.06185315,1.0239264,-0.15729007,0.025840651,0.023843251,0.25998285,-0.13830015,-0.049598936,-0.061426774,-0.074252054,-0.2208138,0.26876605,-0.1784693,0.024270065,0.05738438,-0.006816715,-0.047209762,-0.11627181,1.6720736,0.059740305,1.278934,0.28398466,0.4004469,-0.023146152,0.48112732,-1.5802968,-0.60018146,1.29104,0.023130834,0.35688114,-0.36622268
0.00617069,0.020691156,0.79069614,-0.008282131,0.026687682,0.06271534,1.0258338,-0.15261734,0.032207914,0.032216463,0.26889622,-0.1313692,-0.05484678,-0.06305604,-0.07496608,-0.22692585,0.27349383,-0.17095123,0.031185467,0.055755284,-0.005947612,-0.04985693,-0.113443606,1.6801122,0.07170752,1.2844298,0.3023134,0.3956055,-0.02347067,0.4924944,-1.5802716,-0.65254986,1.2651412,-0.001722157,0.36637652,-0.3730159
0.01096487,0.023465335,0.7917008,-0.009022578,0.024991274,0.06348336,1.0279503,-0.1487914,0.04306229,0.04489012,0.27731127,-0.12695237,-0.054234877,-0.06664699,-0.075457454,-0.23147964,0.277375,-0.16427612,0.04980776,0.054421432,-0.0055667683,-0.053219076,-0.11112224,1.68786,0.084751874,1.2880216,0.32062712,0.3911103,-0.022445261,0.5009896,-1.5801485,-0.70187885,1.2399652,-0.03153181,0.37539804,-0.37672907
